clip,window,n_frames,activity_index,distribution_uniformity,piling_score,feed_visit_rate,distress_index
100030,0,4,0.2318,0.6128,0.2083,0.1667,0.4258
1000_jpg.rf.11d830f32e842cef43e8d5d1c72f2b38.jpg,1,1,0.0000,0.6691,0.2727,0.0909,0.5545
1001_jpg.rf.ef0ad44ed889ad589f629949960304af.jpg,2,1,0.0000,0.6612,0.4167,0.0000,0.5833
1002_jpg.rf.213ffb2d37223feae0dcfa30fe09ef2b.jpg,3,1,0.0000,0.6612,0.5833,0.0833,0.6167
1003_jpg.rf.bb481aaf6fac14d4f706f28a6ece9ffc.jpg,4,1,0.0000,0.6934,0.5000,0.3333,0.6000
1004_jpg.rf.e6231ad1d25f0d0526e10cdacacf376f.jpg,5,1,0.0000,0.6934,0.3333,0.4167,0.5667
1005_jpg.rf.a2918ccd6ccad8aa0f8e5c72eba54b7d.jpg,6,1,0.0000,0.6612,0.6667,0.1667,0.6333
1006_jpg.rf.2fd2e2d49bdb0ae161c1d5a1103ec1ab.jpg,7,1,0.0000,0.6612,0.4167,0.1667,0.5833
1007_jpg.rf.c0e3e3ecaa454d9b26ef9994e934f09f.jpg,8,1,0.0000,0.6934,0.5833,0.0833,0.6167
1008_jpg.rf.c23c6237a4d8709dcb3dacec8c072228.jpg,9,1,0.0000,0.6612,0.6667,0.0000,0.6333
100927,10,4,0.2015,0.6445,0.0192,0.2019,0.4031
1009_jpg.rf.6fc7087e2d44fb045902af37c023565e.jpg,11,1,0.0000,0.6290,0.7500,0.1667,0.6500
1011_jpg.rf.f10354ca0c61314b6de33d9dbd83f308.jpg,12,1,0.0000,0.6934,0.0833,0.0833,0.5167
1012_jpg.rf.31e78f111e6df9b6ffdc16503f3eb285.jpg,13,1,0.0000,0.6612,0.1667,0.4167,0.5333
101337,14,8,0.2360,0.6600,0.0625,0.2260,0.3945
1013_jpg.rf.9c4c4de983ddd29cb4081c2a5296fa33.jpg,15,1,0.0000,0.6934,0.2500,0.1667,0.5500
1014_jpg.rf.e27a84e117b75dda7476463659dfd029.jpg,16,1,0.0000,0.6691,0.0909,0.1818,0.5182
1015_jpg.rf.a6cad18d169510e0ff29357d4b8f389e.jpg,17,1,0.0000,0.6612,0.0833,0.4167,0.5167
1016_jpg.rf.ca83a944140e9fac0e1e1fa746354339.jpg,18,1,0.0000,0.6934,0.3333,0.2500,0.5667
1017_jpg.rf.07b2f57ac000a9c262cdeefd32373b2d.jpg,19,1,0.0000,0.6934,0.2500,0.1667,0.5500
1018_jpg.rf.4e5debf1a2fcb5d77b54fbc6d8256c25.jpg,20,1,0.0000,0.6612,0.6667,0.0000,0.6333
1019_jpg.rf.42e15c2346627df02cc5619f720ea048.jpg,21,1,0.0000,0.6612,0.5833,0.4167,0.6167
101_jpg.rf.27fa37e1748a41ea4cb35aa5ec2d10dd.jpg,22,1,0.0000,0.6612,0.0000,0.2500,0.5000
1020_jpg.rf.039c5cdc71bde9feb992784da46d7e47.jpg,23,1,0.0000,0.6934,0.3333,0.3333,0.5667
102125-1-,24,1,0.0000,0.6934,0.4167,0.0000,0.5833
102125-10-,25,1,0.0000,0.6612,0.3333,0.3333,0.5667
102125-11-,26,1,0.0000,0.6934,0.6667,0.3333,0.6333
102125-12-,27,1,0.0000,0.6934,0.3333,0.2500,0.5667
102125-13-,28,1,0.0000,0.6934,0.1667,0.0833,0.5333
102125-14-,29,1,0.0000,0.6934,0.6667,0.1667,0.6333
102125-15-,30,1,0.0000,0.6934,0.3333,0.4167,0.5667
102125-16-,31,1,0.0000,0.6934,0.5833,0.4167,0.6167
102125-2-,32,1,0.0000,0.6934,0.3333,0.1667,0.5667
102125-3-,33,1,0.0000,0.6934,0.3333,0.1667,0.5667
102125-5-,34,1,0.0000,0.6934,0.1667,0.0000,0.5333
102125-6-,35,1,0.0000,0.6934,0.5000,0.4167,0.6000
102125-7-,36,1,0.0000,0.6934,0.4167,0.0833,0.5833
102125-8-,37,1,0.0000,0.6612,0.5000,0.3333,0.6000
102125-9-,38,1,0.0000,0.6612,0.5000,0.1667,0.6000
1021_jpg.rf.3ac6afd4bc0ba16b6ae2042211cb2522.jpg,39,1,0.0000,0.6934,0.5000,0.5000,0.6000
1021_jpg.rf.6d8fb234537fe4228dd59c66f9c61f16.jpg,40,1,0.0000,0.5967,0.3333,0.0000,0.5667
1022_jpg.rf.20f5b83f0733178b38d6ca4ba37d1ff5.jpg,41,1,0.0000,0.5079,0.2500,0.0000,0.5500
1023_jpg.rf.eea3232ad32535d9aa305e3f3855a14f.jpg,42,1,0.0000,0.6934,0.3333,0.2500,0.5667
1023_jpg.rf.f3019d3a63a09c222a46d51c32075d95.jpg,43,1,0.0000,0.1934,0.0000,1.0000,0.5000
1024_jpg.rf.7415c622a19839f4f35300d76f053a96.jpg,44,1,0.0000,0.6934,0.4167,0.4167,0.5833
1024_jpg.rf.eec6b461391d5db84a78443e380cda38.jpg,45,1,0.0000,0.6612,0.0000,0.0000,0.5000
