clip,window,n_frames,activity_index,distribution_uniformity,piling_score,feed_visit_rate,distress_index
A-chicken-crossing-the-road,0,48,0.1084,0.0000,0.0000,0.0000,0.4458
A-chicken-crossing-the-road,1,48,0.1304,0.0000,0.0000,0.0000,0.4348
A-chicken-crossing-the-road,2,3,0.0630,0.0000,0.0000,0.0000,0.4685
chicken-3607863,3,1,0.0000,0.3066,0.0000,0.0000,0.5000
chicken-4151637,4,1,0.0000,0.0000,0.0000,0.0000,0.5000
chicken-4849979,5,1,0.0000,0.4491,0.6000,0.0000,0.6200
chickens-1,6,34,0.2724,0.4484,0.8275,0.0000,0.5293
chickens-2,7,37,0.4549,0.4086,0.8036,0.0000,0.4333
chickens-874507,8,1,0.0000,0.6340,1.0000,0.0000,0.7000
coop,9,1,0.0000,0.0000,0.0000,0.0000,0.5000
download--1-,10,1,0.0000,0.0000,0.0000,0.0000,0.5000
download--2-,11,1,0.0000,0.1934,0.0000,0.0000,0.5000
download,12,1,0.0000,0.0000,0.0000,0.0000,0.5000
hahn-4482948,13,1,0.0000,0.0000,0.0000,0.0000,0.5000
leaves,14,4,0.0000,0.0000,0.0000,0.0000,0.5000
rooster-1284283,15,1,0.0000,0.0000,0.0000,0.0000,0.5000
chickens-2522623,16,1,0.0000,0.4491,0.2000,0.0000,0.5400
