path,label_path,clip,orig_split,split,n_objects,class_hist
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/100030-4_png.rf.50e6f8aaf5c7c63a25c4c5ecdea3e3d9.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/100030-4_png.rf.50e6f8aaf5c7c63a25c4c5ecdea3e3d9.txt,100030,train,test,12,6|5|1
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/1000_jpg.rf.11d830f32e842cef43e8d5d1c72f2b38.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/1000_jpg.rf.11d830f32e842cef43e8d5d1c72f2b38.txt,1000,train,train,11,1|4|6
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/1001_jpg.rf.ef0ad44ed889ad589f629949960304af.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/1001_jpg.rf.ef0ad44ed889ad589f629949960304af.txt,1001,train,test,12,0|2|10
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/1002_jpg.rf.213ffb2d37223feae0dcfa30fe09ef2b.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/1002_jpg.rf.213ffb2d37223feae0dcfa30fe09ef2b.txt,1002,train,train,12,1|7|4
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/1003_jpg.rf.bb481aaf6fac14d4f706f28a6ece9ffc.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/1003_jpg.rf.bb481aaf6fac14d4f706f28a6ece9ffc.txt,1003,train,val,12,4|3|5
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/1004_jpg.rf.e6231ad1d25f0d0526e10cdacacf376f.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/1004_jpg.rf.e6231ad1d25f0d0526e10cdacacf376f.txt,1004,train,train,12,5|2|5
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/1005_jpg.rf.a2918ccd6ccad8aa0f8e5c72eba54b7d.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/1005_jpg.rf.a2918ccd6ccad8aa0f8e5c72eba54b7d.txt,1005,train,train,12,2|3|7
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/1006_jpg.rf.2fd2e2d49bdb0ae161c1d5a1103ec1ab.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/1006_jpg.rf.2fd2e2d49bdb0ae161c1d5a1103ec1ab.txt,1006,train,val,12,2|10|0
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/1007_jpg.rf.c0e3e3ecaa454d9b26ef9994e934f09f.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/1007_jpg.rf.c0e3e3ecaa454d9b26ef9994e934f09f.txt,1007,train,test,12,1|10|1
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/1008_jpg.rf.c23c6237a4d8709dcb3dacec8c072228.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/1008_jpg.rf.c23c6237a4d8709dcb3dacec8c072228.txt,1008,train,train,12,0|6|6
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/100927-2_png.rf.64de1406be5bb9545d5cd8d72e883786.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/100927-2_png.rf.64de1406be5bb9545d5cd8d72e883786.txt,100927,train,train,12,2|7|3
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/100927-3_png.rf.33df5c617db546d909070ffea68e8235.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/100927-3_png.rf.33df5c617db546d909070ffea68e8235.txt,100927,train,train,12,3|7|2
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/100927-4_png.rf.704196de35e845d3db7b10e083ea25e0.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/100927-4_png.rf.704196de35e845d3db7b10e083ea25e0.txt,100927,train,train,13,4|7|2
../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/images/1009_jpg.rf.6fc7087e2d44fb045902af37c023565e.jpg,../Data/downloads/Roboflow/Data/downloads/roboflow_chicken_pose/train/labels/1009_jpg.rf.6fc7087e2d44fb045902af37c023565e.txt,1009,train,train,12,2|2|8
